報告人,標題,資料格式,資料url,日期
主任委員吳秀明,第七屆第八會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1b4fd3db-0bd9-4d42-85a7-c2e342938b2c.pdf,
主任委員吳秀明,第七屆第七會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/a72d0748-c1b2-45bb-8c93-8c88874e2080.pdf,
主任委員吳秀明,第七屆第六會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/e809ccb2-9300-4e01-ac89-32664b7e982f.pdf,
主任委員吳秀明,第七屆第四會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/897b3f06-2b92-4c64-b691-d1ed9df71278.pdf,
主任委員吳秀明,第8屆第8會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/abf0e459-cb72-44fe-af1d-3591ae93a18f.pdf,20150923
主任委員吳秀明,第8屆第7會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/4fda74b8-91f5-4188-b738-e8e503fe4313.pdf,20150318
主任委員吳秀明,第8屆第6會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/cfb1e180-13e0-4fdb-9d34-89dd4c43ccbc.pdf,20141002
主任委員吳秀明,第8屆第5會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/bfc2a2ce-b697-4556-867a-04615d16d07f.pdf,20140312
主任委員吳秀明,第8屆第4會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/44dcf48c-66e8-4c0f-a021-33cad0ebd0cc.pdf,20131009
主任委員吳秀明,第8屆第3會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/cec8cf01-69b6-4017-8564-1fde0c078794.pdf,
主任委員吳秀明,第8屆第2會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/f645ed9c-e731-43c0-bbbe-e18cbbb1d3f2.pdf,
主任委員吳秀明,第8屆第1會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/509566c6-30a7-43b9-bbe4-a23afbd1151f.pdf,
主任委員黃美瑛,第9屆第8會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1090224-9-8.pdf,20191016
主任委員黃美瑛,第9屆第7會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/9-7.pdf,20190313
主任委員黃美瑛,第9屆第6會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/9-6.pdf,20181008
主任委員黃美瑛,第9屆第5會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/efebf344-c72b-414c-817c-9850f87ff708.pdf,20180322
主任委員黃美瑛,第9屆第4會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/12b6386c-82c9-4aa8-8fc1-936163726a90.pdf,20170928
主任委員黃美瑛,第9屆第3會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/de5cab15-dbc9-4784-8091-959c7f2e99a6.pdf,20170308
主任委員吳秀明,第9屆第2會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/cf88c3bc-a586-4a34-ab32-74377268f583.pdf,20160929
主任委員吳秀明,第9屆第1會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/7b79ce8d-27ba-402c-957d-34445c49991e.pdf,20160310
主任委員李鎂,第10屆第8會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1121005-10-8.pdf,20230927
主任委員李鎂,第10屆第7會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1120313-10-7.pdf,20230309
主任委員李鎂,第10屆第6會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1111011-10-6.pdf,20221006
主任委員李鎂,第10屆第5會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1110329-10-5.pdf,20220323
主任委員李鎂,第10屆第4會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1101012-10-4.pdf,20211004
主任委員李鎂,第10屆第3會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1100312-10-3.pdf,20210310
主任委員黃美瑛,第10屆第2會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1091006-10-2.pdf,20201005
主任委員黃美瑛,第10屆第1會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1090316-10-1.pdf,20200304
主任委員李鎂,第11屆第1會期經濟委員會業務報告,pdf,https://www.ftc.gov.tw/upload/1130312-11-1.pdf,20240311